Series ID,Year,Period,Label,Value
CMU2025100120000P,2022,Q02,2022 Qtr2,66.4
CMU2025100120000P,2022,Q03,2022 Qtr3,66.5
CMU2025100120000P,2022,Q04,2022 Qtr4,65.9
CMU2025100120000P,2023,Q01,2023 Qtr1,65.9
CMU2025100120000P,2023,Q02,2023 Qtr2,65.9
CMU2025100120000P,2023,Q03,2023 Qtr3,66.0
CMU2025100120000P,2023,Q04,2023 Qtr4,65.6
CMU2025100120000P,2024,Q01,2024 Qtr1,65.2
CMU2025100200000D,2018,Q01,2018 Qtr1,23.64
CMU2025100200000D,2018,Q02,2018 Qtr2,24.21
CMU2025100200000D,2018,Q03,2018 Qtr3,24.41
CMU2025100200000D,2018,Q04,2018 Qtr4,23.78
CMU2025100200000D,2019,Q01,2019 Qtr1,24.27
CMU2025100200000D,2019,Q02,2019 Qtr2,23.46
CMU2025100200000D,2019,Q03,2019 Qtr3,24.63
CMU2025100200000D,2019,Q04,2019 Qtr4,23.32
CMU2025100200000D,2020,Q01,2020 Qtr1,23.51
CMU2025100200000D,2020,Q02,2020 Qtr2,23.64
CMU2025100200000D,2020,Q03,2020 Qtr3,23.73
CMU2025100200000D,2020,Q04,2020 Qtr4,24.07
CMU2025100200000D,2021,Q01,2021 Qtr1,24.11
CMU2025100200000D,2021,Q02,2021 Qtr2,24.74
CMU2025100200000D,2021,Q03,2021 Qtr3,25.16
CMU2025100200000D,2021,Q04,2021 Qtr4,25.87
CMU2025100200000D,2022,Q01,2022 Qtr1,26.01
CMU2025100200000D,2022,Q02,2022 Qtr2,27.19
CMU2025100200000D,2022,Q03,2022 Qtr3,27.85
CMU2025100200000D,2022,Q04,2022 Qtr4,29.11
CMU2025100200000D,2023,Q01,2023 Qtr1,30.29
CMU2025100200000D,2023,Q02,2023 Qtr2,30.46
CMU2025100200000D,2023,Q03,2023 Qtr3,30.11
CMU2025100200000D,2023,Q04,2023 Qtr4,32.43
CMU2025100200000D,2024,Q01,2024 Qtr1,33.11
CMU2025100200000P,2018,Q01,2018 Qtr1,65.8
CMU2025100200000P,2018,Q02,2018 Qtr2,64.5
CMU2025100200000P,2018,Q03,2018 Qtr3,64.6
CMU2025100200000P,2018,Q04,2018 Qtr4,64.9
CMU2025100200000P,2019,Q01,2019 Qtr1,65.1
CMU2025100200000P,2019,Q02,2019 Qtr2,65.6
CMU2025100200000P,2019,Q03,2019 Qtr3,66.4
CMU2025100200000P,2019,Q04,2019 Qtr4,67.4
CMU2025100200000P,2020,Q01,2020 Qtr1,67.0
CMU2025100200000P,2020,Q02,2020 Qtr2,66.5
CMU2025100200000P,2020,Q03,2020 Qtr3,66.6
CMU2025100200000P,2020,Q04,2020 Qtr4,66.6
CMU2025100200000P,2021,Q01,2021 Qtr1,66.5
CMU2025100200000P,2021,Q02,2021 Qtr2,66.4
CMU2025100200000P,2021,Q03,2021 Qtr3,66.4
CMU2025100200000P,2021,Q04,2021 Qtr4,66.3
CMU2025100200000P,2022,Q01,2022 Qtr1,66.5
CMU2025100200000P,2022,Q02,2022 Qtr2,66.1
CMU2025100200000P,2022,Q03,2022 Qtr3,66.3
CMU2025100200000P,2022,Q04,2022 Qtr4,65.3
CMU2025100200000P,2023,Q01,2023 Qtr1,65.9
CMU2025100200000P,2023,Q02,2023 Qtr2,65.7
CMU2025100200000P,2023,Q03,2023 Qtr3,65.6
CMU2025100200000P,2023,Q04,2023 Qtr4,65.0
CMU2025100200000P,2024,Q01,2024 Qtr1,65.2
